N lines: 1792748
N clusters: 415936
N unique titles: 759297
N unique sentences: 1305359
Cluster histogram
2	306909
3	45961
4	19214
5	10218
6	6470
7	4381
8	3377
9	2420
10	1961
11	1564
12	1266
13	1147
14	929
15	816
16	680
17	592
18	499
19	478
20	499
21	382
22	374
23	313
24	315
25	269
26	236
27	236
28	193
29	178
30	170
31	156
32	141
33	161
34	126
35	112
36	115
37	101
38	101
39	91
40	94
41	82
42	80
43	71
44	75
45	59
46	49
47	60
48	55
49	62
50	67
51	41
52	51
53	49
54	28
55	48
56	32
57	41
58	50
59	40
60	35
61	37
62	33
63	44
64	23
65	27
66	35
67	31
68	43
69	27
70	27
71	13
72	29
73	26
74	25
75	23
76	30
77	21
78	23
79	25
80	21
81	16
82	18
83	19
84	20
85	15
86	13
87	20
88	12
89	16
90	13
91	10
92	11
93	14
94	14
95	14
96	16
97	20
98	14
99	10
100	12
101	11
102	7
103	17
104	10
105	17
106	9
107	12
108	11
109	10
110	8
111	5
112	11
113	14
114	10
115	12
116	7
117	6
118	6
119	6
120	7
121	9
122	12
123	5
124	3
125	5
126	5
127	4
128	4
129	5
130	4
131	5
132	10
133	2
134	5
135	10
136	9
137	6
138	7
139	1
140	5
141	7
142	8
143	2
144	6
145	3
146	3
147	3
148	7
149	6
150	3
151	1
152	4
153	2
154	4
155	1
156	1
157	4
158	2
159	2
160	4
162	5
163	1
164	2
165	1
166	3
167	3
168	3
169	2
170	2
171	3
172	4
173	4
174	1
175	2
176	2
177	6
178	2
179	2
180	3
181	1
182	4
183	1
187	1
188	5
189	1
190	1
191	2
192	2
193	2
194	3
195	3
196	5
198	1
199	1
200	1
201	1
203	4
204	4
205	3
206	1
207	3
208	3
209	3
211	4
212	6
213	1
214	2
215	2
216	1
217	2
218	1
220	2
222	1
223	2
224	2
225	3
226	2
229	1
230	4
232	1
233	3
235	2
236	1
237	1
238	2
239	2
240	1
242	2
243	4
244	1
245	1
249	2
250	3
251	2
252	1
253	2
258	1
261	1
262	2
263	1
264	1
265	1
266	1
267	2
268	1
269	1
270	3
271	2
275	1
276	2
280	1
284	1
286	1
287	1
291	3
296	1
297	1
299	1
301	1
304	3
308	1
309	1
310	1
314	1
316	2
319	1
321	1
324	1
325	1
327	1
331	2
332	1
334	1
339	3
342	1
345	2
347	1
349	1
351	1
352	1
353	1
355	1
356	2
357	2
367	1
370	1
372	2
